feature,pvalue,statistic,debates_mean,ted_mean,debates_std,ted_std
apq11Shimmer,0.21872561282815758,-1.3610077367956692,0.12690039357142857,0.11764481808935376,0.016319579756556162,0.11764481808935376
apq3Shimmer,0.3602907828837805,-0.9891559026683223,0.05740772285714286,0.050318710999314446,0.0174952614072598,0.050318710999314446
apq5Shimmer,0.3826998464432027,-0.9392388485892019,0.0764407332857143,0.07058466656081464,0.015142754720165198,0.07058466656081464
ddaShimmer,0.3602908013359108,-0.9891558618120346,0.17222316771428572,0.1509561329979435,0.05248578427464239,0.1509561329979435
ddpJitter,0.3487187688287692,-1.0055579635218714,0.03419407471428572,0.0321200660439502,0.004883489140592607,0.0321200660439502
hnr,0.7491967742622021,0.33397694165966124,9.17046393342857,9.481110016988543,2.248661947441266,9.481110016988543
localJitter,0.5292955271098803,-0.6612570108956495,0.027427181571428573,0.026638270891738987,0.0028009607684186233,0.026638270891738987
localShimmer,0.12585185376459593,-1.7677276473416266,0.133983883,0.11876408945155398,0.0209089900338865,0.11876408945155398
localabsoluteJitter,0.7745624341194357,-0.2970035683301247,0.00019027985714285714,0.00018627355193219996,3.1282524498185745e-05,0.00018627355193219996
localdbShimmer,0.28949781816626263,-1.158747962267927,1.2131772814285713,1.1296816814951478,0.17534315985730178,1.1296816814951478
meanF0,0.8768746856630584,-0.16072926370737559,152.4202376428571,150.89088463020357,22.459234845159642,150.89088463020357
ppq5Jitter,0.9077700962343864,-0.11986250313800577,0.013058385714285714,0.012984720241453643,0.0014269114565759267,0.012984720241453643
rapJitter,0.3487188143810011,-1.005557862549038,0.011398024857142855,0.010706688681316667,0.0016278297684724223,0.010706688681316667
stdevF0,0.029028954289122114,-2.83742960400492,64.85722025857143,36.092227230924664,24.708930246292788,36.092227230924664
