feature,pvalue,statistic,debates_mean,ted_mean,debates_std,ted_std
apq11Shimmer,0.8572658306075702,-0.22622635066400867,0.1000560645,0.09750186562123599,0.011181172500000003,0.09750186562123599
apq3Shimmer,0.3833992809430017,1.4270024907562415,0.0355537165,0.04355419953916571,0.0055589855,0.04355419953916571
apq5Shimmer,0.7734091686806305,0.3706188452461986,0.055276248,0.05986023695360908,0.012327311999999997,0.05986023695360908
ddaShimmer,0.3833992624448755,1.4270025748795108,0.1066611495,0.1306625986174973,0.0166769555,0.1306625986174973
ddpJitter,0.5951720167155262,-0.6935803761658689,0.030477065999999997,0.029130023169631813,0.0018426620000000001,0.029130023169631813
hnr,0.4716312952580334,-1.0700637880920552,12.765128440000002,11.535478714342224,1.1350483599999999,11.535478714342224
localJitter,0.28498936925557034,-1.7770348009525883,0.023943697,0.021991018815643727,0.0010366160000000006,0.021991018815643727
localShimmer,0.7773025160792147,-0.3567287127236391,0.10393629,0.10180585294267194,0.005822906000000003,0.10180585294267194
localabsoluteJitter,0.63858627169577,-0.6331327209373964,0.0001177315,0.00010197666528009833,2.4731500000000005e-05,0.00010197666528009833
localdbShimmer,0.7059814108581911,0.4880005524259449,0.986970336,1.0162528524901608,0.05883739899999996,1.0162528524901608
meanF0,0.7980589266198213,0.32674693383479353,213.72513055000002,225.6251878509587,36.22652175,225.6251878509587
ppq5Jitter,0.0018960028047996728,3.2252999566264227,0.010246655,0.010982517958073257,1.9141000000000297e-05,0.010982517958073257
rapJitter,0.5951721901145464,-0.6935800373428379,0.010159022,0.009710007723210536,0.0006142209999999999,0.009710007723210536
stdevF0,0.13680698144370304,-4.0155357862650725,67.05420237499999,46.59260538226532,4.969542914999998,46.59260538226532
