speaker,pos,neg,neu,compound
911Mothers,0.0628225806451612,0.0776451612903225,0.859532258064516,-0.0249919354838709
AJJacobs,0.0900656633869137,0.034488708853945504,0.8754263862644391,0.122385533292822
AalaElKhani,0.0881376811594203,0.0939565217391304,0.8178913043478264,-0.0224268115942028
AaronHuey,0.0551510791366906,0.0986906474820144,0.8461438848920863,-0.0887964028776978
AaronKoblin,0.0788079999999999,0.021192,0.8999919999999999,0.1808191999999999
AaronOConnell,0.0613285714285714,0.0268,0.9119,0.1239714285714285
AbeDavis,0.0632064516129032,0.0125225806451612,0.924277419354839,0.1112458064516129
AbhaDawesar,0.0494205607476635,0.0294953271028037,0.9210934579439252,0.0468878504672897
AbigailMarsh,0.1148048780487805,0.0564390243902438,0.8287073170731707,0.141330894308943
AbigailWashburn,0.0959423076923076,0.0142884615384615,0.8897692307692306,0.1818942307692307
AbrahamVerghese,0.0615949367088607,0.0373860759493671,0.9010253164556958,0.0771981012658227
AchenyoIdachaba,0.083326923076923,0.0259423076923076,0.8907307692307692,0.1323230769230769
AdamDavidson,0.0787013888888888,0.075,0.846326388888889,0.0014618055555555
AdamDriver,0.0965492957746478,0.0506338028169014,0.8528380281690141,0.1374535211267605
AdamFoss,0.0879530201342282,0.0797852348993288,0.8322416107382553,0.0157724832214765
AdamGalinsky,0.1252575757575757,0.0613560606060606,0.8133712121212114,0.160219696969697
AdamGarone,0.1171654676258993,0.0437841726618704,0.8390359712230216,0.157451798561151
AdamGrant,0.14231676591846085,0.0509196633073751,0.8067745648190563,0.23824445144296844
AdamGrosser,0.077695652173913,0.0521304347826086,0.8701304347826087,0.085195652173913
AdamOckelford,0.123876404494382,0.0214719101123595,0.8546629213483148,0.2526651685393258
AdamOstrow,0.1104772727272727,0.0500681818181818,0.8394318181818182,0.1720045454545454
AdamSadowsky,0.1162727272727272,0.0400181818181818,0.8436545454545455,0.1473872727272727
AdamSavage,0.0900885514018691,0.03378429906542055,0.8761071495327102,0.1788130794392523
AdamSpencer,0.1111133333333333,0.0267866666666666,0.8620866666666666,0.2111993333333333
AdamdelaZerda,0.0803333333333333,0.101520325203252,0.8181869918699188,-0.1091284552845528
AditiGupta,0.070969387755102,0.0357857142857142,0.8932551020408165,0.0599775510204081
AditiShankardass,0.067609375,0.0688281249999999,0.8635625,-0.0048499999999999
AdoraSvitak,0.1483809523809523,0.0573968253968254,0.7942539682539682,0.2197412698412698
AfraRaymond,0.0844918032786885,0.0629289617486339,0.8525901639344264,0.0334497267759563
AimeeMullins,0.09237470123184405,0.02338242323956605,0.8842360728075014,0.16832928387571244
