filename,pos,neg,neu,compound
911Mothers_2010W.txt,0.06282258064516129,0.07764516129032256,0.859532258064516,-0.024991935483870967
AalaElKhani_2016X.txt,0.0881376811594203,0.09395652173913045,0.8178913043478264,-0.02242681159420289
AaronHuey_2010X.txt,0.05515107913669064,0.09869064748201441,0.8461438848920863,-0.08879640287769783
AaronKoblin_2011.txt,0.07880799999999998,0.021192,0.8999919999999999,0.18081919999999999
AaronOConnell_2011.txt,0.06132857142857144,0.0268,0.9118999999999999,0.12397142857142855
AbeDavis_2015.txt,0.06320645161290323,0.01252258064516129,0.924277419354839,0.11124580645161292
AbhaDawesar_2013G.txt,0.04942056074766355,0.029495327102803736,0.9210934579439253,0.04688785046728972
AbigailMarsh_2016T.txt,0.1148048780487805,0.05643902439024389,0.8287073170731707,0.14133089430894308
AbigailWashburn_2012U.txt,0.09594230769230769,0.014288461538461538,0.8897692307692306,0.18189423076923075
AbrahamVerghese_2011G.txt,0.06159493670886073,0.0373860759493671,0.9010253164556958,0.07719810126582279
AchenyoIdachaba_2015W.txt,0.08332692307692308,0.02594230769230769,0.8907307692307692,0.13232307692307693
AdamDavidson_2012S.txt,0.07870138888888885,0.07500000000000002,0.846326388888889,0.0014618055555555758
AdamdelaZerda_2016X.txt,0.08033333333333335,0.10152032520325206,0.8181869918699188,-0.10912845528455285
AdamDriver_2015P.txt,0.09654929577464788,0.05063380281690141,0.8528380281690141,0.13745352112676057
AdamFoss_2016.txt,0.0879530201342282,0.07978523489932886,0.8322416107382553,0.0157724832214765
AdamGalinsky_2016X.txt,0.12525757575757576,0.06135606060606062,0.8133712121212114,0.16021969696969704
AdamGarone_2011X.txt,0.11716546762589931,0.04378417266187049,0.8390359712230216,0.15745179856115107
AdamGrant_2016.txt,0.11310810810810812,0.05539864864864862,0.8315067567567567,0.12987364864864873
AdamGrant_2016S.txt,0.17152542372881363,0.046440677966101684,0.7820423728813558,0.34661525423728823
AdamGrosser_2007.txt,0.07769565217391305,0.052130434782608696,0.8701304347826087,0.08519565217391302
AdamOckelford_2013X.txt,0.123876404494382,0.021471910112359553,0.8546629213483148,0.2526651685393258
AdamOstrow_2011G.txt,0.11047727272727272,0.050068181818181824,0.8394318181818182,0.17200454545454547
AdamSadowsky_2010X.txt,0.11627272727272729,0.04001818181818182,0.8436545454545455,0.14738727272727276
AdamSavage_2008P.txt,0.07732710280373829,0.03344859813084111,0.8892242990654204,0.1668691588785047
AdamSavage_2016.txt,0.10285,0.03412,0.86299,0.19075699999999998
AdamSpencer_2013.txt,0.11111333333333334,0.026786666666666667,0.8620866666666666,0.21119933333333338
AditiGupta_2015X.txt,0.07096938775510205,0.03578571428571428,0.8932551020408165,0.05997755102040817
AditiShankardass_2009I.txt,0.067609375,0.06882812499999999,0.8635625,-0.004849999999999995
AdoraSvitak_2010.txt,0.14838095238095236,0.057396825396825404,0.7942539682539682,0.21974126984126982
AfraRaymond_2012X.txt,0.08449180327868853,0.0629289617486339,0.8525901639344264,0.033449726775956305
AimeeMullins_1998.txt,0.08391156462585032,0.023197278911564624,0.8928775510204082,0.1666680272108844
AimeeMullins_2009U.txt,0.10083783783783784,0.02356756756756757,0.8755945945945945,0.16999054054054055
AjitNarayanan_2013.txt,0.08811111111111114,0.01071111111111111,0.9011703703703708,0.17829629629629626
AJJacobs_2007P.txt,0.08994478527607361,0.031938650306748466,0.8781042944785272,0.12817546012269943
AJJacobs_2011P.txt,0.0991044776119403,0.04368656716417911,0.8572089552238806,0.117244776119403
AJJacobs_2014A.txt,0.08114772727272729,0.027840909090909093,0.8909659090909096,0.12173636363636367
AlaaMurabit_2015W.txt,0.0915462962962963,0.05156481481481482,0.8568796296296297,0.10879629629629625
AlaindeBotton_2009G.txt,0.1265040650406504,0.09782926829268289,0.7756422764227643,0.07641951219512194
AlaindeBotton_2011G.txt,0.09302127659574468,0.047531914893617036,0.8594680851063828,0.16065815602836878
AlanEustace_2015.txt,0.08741379310344824,0.027922413793103448,0.8846551724137931,0.15366982758620681
AlanKay_2007.txt,0.056377049180327876,0.026087431693989072,0.9175355191256832,0.06589289617486337
AlannaShaikh_2012G.txt,0.11382258064516126,0.04300000000000001,0.8431774193548385,0.20368064516129025
AlanRussell_2006.txt,0.07749659863945574,0.03253741496598641,0.8899727891156463,0.1250251700680272
AlanSiegel_2010.txt,0.08974193548387098,0.015064516129032259,0.8951612903225804,0.1715354838709678
AlanSmith_2016X.txt,0.07962096774193546,0.025701612903225802,0.8946532258064516,0.14774758064516127
AlastairParvin_2013.txt,0.06791150442477878,0.02587610619469027,0.906212389380531,0.11669646017699115
AlbertoCairo_2011X.txt,0.07768098159509201,0.04412883435582823,0.8781963190184048,0.04323374233128834
AlecSoth_2015.txt,0.08097727272727274,0.031636363636363636,0.887409090909091,0.13920454545454553
AlejandroAlvarado_2016X.txt,0.08357142857142857,0.03894957983193277,0.8774537815126049,0.10513025210084037
AlejandroAravena_2014G.txt,0.062170542635658924,0.03770542635658915,0.9001317829457365,0.0436217054263566
AlessandraOrofino_2014G.txt,0.12829921259842517,0.05694488188976378,0.8147401574803147,0.15425984251968505
AlessandroAcquisti_2013G.txt,0.07991666666666668,0.043649999999999994,0.876466666666667,0.10290500000000005
AlexaMeade_2013G.txt,0.06309375000000002,0.019609375000000002,0.9172500000000002,0.11629375000000002
AlexanderBetts_2016.txt,0.07347126436781609,0.05130459770114943,0.875252873563218,0.0651971264367816
AlexanderBetts_2016T.txt,0.09886821705426356,0.05909302325581395,0.8420465116279067,0.10377209302325582
